Date,,Flux,SEM
01/07/2011,Palsa,0.01,-0.19
02/07/2011,Palsa,0.01,-0.22
03/07/2011,Palsa,0.02,-0.27
04/07/2011,Palsa,0.01,-0.28
05/07/2011,Palsa,0.02,-0.04
06/07/2011,Palsa,0.02,-0.02
07/07/2011,Palsa,0.04,0.01
08/07/2011,Palsa,0.03,-0.07
09/07/2011,Palsa,0.01,0.00
10/07/2011,Palsa,0.05,-0.01
11/07/2011,Palsa,0.06,-0.02
12/07/2011,Palsa,0.01,0.02
13/07/2011,Palsa,0.01,0.00
14/07/2011,Palsa,0.01,-0.01
15/07/2011,Palsa,0.01,0.02
16/07/2011,Palsa,0.16,-0.17
17/07/2011,Palsa,0.01,0.00
18/07/2011,Palsa,0.01,-0.01
19/07/2011,Palsa,0.00,-0.03
20/07/2011,Palsa,0.01,-0.01
21/07/2011,Palsa,0.01,-0.01
22/07/2011,Palsa,0.01,0.01
23/07/2011,Palsa,0.04,-0.02
24/07/2011,Palsa,0.00,0.00
25/07/2011,Palsa,0.03,0.02
26/07/2011,Palsa,0.01,-0.01
27/07/2011,Palsa,0.01,0.00
28/07/2011,Palsa,0.01,-0.01
29/07/2011,Palsa,0.01,-0.01
30/07/2011,Palsa,0.02,-0.01
31/07/2011,Palsa,0.00,-0.02
01/08/2011,Palsa,0.00,-0.02
02/08/2011,Palsa,,
03/08/2011,Palsa,,
04/08/2011,Palsa,,
05/08/2011,Palsa,,
06/08/2011,Palsa,,
07/08/2011,Palsa,,
08/08/2011,Palsa,,
09/08/2011,Palsa,,
10/08/2011,Palsa,0.02,0.01
11/08/2011,Palsa,0.01,0.01
12/08/2011,Palsa,0.03,-0.03
13/08/2011,Palsa,0.01,0.00
14/08/2011,Palsa,0.00,0.00
15/08/2011,Palsa,,-0.02
16/08/2011,Palsa,,
17/08/2011,Palsa,,
18/08/2011,Palsa,0.01,0.00
19/08/2011,Palsa,0.00,0.00
20/08/2011,Palsa,0.00,0.00
21/08/2011,Palsa,0.00,0.00
22/08/2011,Palsa,0.00,0.01
23/08/2011,Palsa,0.01,0.00
24/08/2011,Palsa,0.02,0.01
25/08/2011,Palsa,,0.94
26/08/2011,Palsa,0.01,-0.02
27/08/2011,Palsa,0.02,0.00
28/08/2011,Palsa,0.20,0.21
29/08/2011,Palsa,0.00,0.01
30/08/2011,Palsa,0.00,0.00
31/08/2011,Palsa,0.00,0.00
01/09/2011,Palsa,0.01,0.01
02/09/2011,Palsa,0.03,0.04
03/09/2011,Palsa,0.00,0.00
04/09/2011,Palsa,0.00,0.00
05/09/2011,Palsa,0.04,-0.06
06/09/2011,Palsa,0.00,0.00
07/09/2011,Palsa,0.03,0.01
08/09/2011,Palsa,0.00,0.00
09/09/2011,Palsa,0.00,0.00
10/09/2011,Palsa,0.01,0.01
11/09/2011,Palsa,0.01,0.00
12/09/2011,Palsa,0.00,0.00
13/09/2011,Palsa,0.01,0.00
14/09/2011,Palsa,0.02,0.04
15/09/2011,Palsa,,
16/09/2011,Palsa,0.03,-0.01
17/09/2011,Palsa,0.02,0.00
18/09/2011,Palsa,0.02,0.03
19/09/2011,Palsa,0.03,-0.04
20/09/2011,Palsa,0.00,0.00
21/09/2011,Palsa,0.00,0.00
22/09/2011,Palsa,0.00,0.00
23/09/2011,Palsa,0.01,0.00
24/09/2011,Palsa,0.04,0.01
25/09/2011,Palsa,0.03,0.03
26/09/2011,Palsa,0.02,0.00
27/09/2011,Palsa,0.02,0.05
28/09/2011,Palsa,0.01,0.02
29/09/2011,Palsa,0.01,0.00
30/09/2011,Palsa,0.02,0.00
01/10/2011,Palsa,0.05,0.09
02/10/2011,Palsa,0.01,0.02
03/10/2011,Palsa,0.00,0.04
04/10/2011,Palsa,0.00,0.00
05/10/2011,Palsa,0.03,0.05
06/10/2011,Palsa,0.00,0.00
07/10/2011,Palsa,0.01,0.02
08/10/2011,Palsa,0.01,0.01
09/10/2011,Palsa,0.00,0.01
10/10/2011,Palsa,0.00,0.00
11/10/2011,Palsa,0.01,0.01
12/10/2011,Palsa,0.01,0.00
13/10/2011,Palsa,0.00,0.00
14/10/2011,Palsa,0.05,0.06
15/10/2011,Palsa,0.02,0.03
16/10/2011,Palsa,0.03,0.10
01/07/2011,Sphagnum,1.37,0.30
02/07/2011,Sphagnum,1.32,0.38
03/07/2011,Sphagnum,1.40,0.43
04/07/2011,Sphagnum,1.31,0.39
05/07/2011,Sphagnum,1.53,0.56
06/07/2011,Sphagnum,1.45,0.54
07/07/2011,Sphagnum,1.31,0.28
08/07/2011,Sphagnum,1.40,0.34
09/07/2011,Sphagnum,1.17,0.34
10/07/2011,Sphagnum,1.52,0.42
11/07/2011,Sphagnum,1.45,0.40
12/07/2011,Sphagnum,1.44,0.42
13/07/2011,Sphagnum,1.03,0.28
14/07/2011,Sphagnum,1.13,0.28
15/07/2011,Sphagnum,1.10,0.28
16/07/2011,Sphagnum,1.03,0.37
17/07/2011,Sphagnum,1.08,0.29
18/07/2011,Sphagnum,0.72,0.31
19/07/2011,Sphagnum,1.01,0.19
20/07/2011,Sphagnum,1.62,0.28
21/07/2011,Sphagnum,1.56,0.29
22/07/2011,Sphagnum,1.33,0.14
23/07/2011,Sphagnum,1.85,0.39
24/07/2011,Sphagnum,1.58,0.24
25/07/2011,Sphagnum,2.02,0.37
26/07/2011,Sphagnum,1.75,0.32
27/07/2011,Sphagnum,1.70,0.20
28/07/2011,Sphagnum,1.58,0.24
29/07/2011,Sphagnum,1.19,0.17
30/07/2011,Sphagnum,1.43,0.31
31/07/2011,Sphagnum,1.02,0.35
01/08/2011,Sphagnum,1.19,0.39
02/08/2011,Sphagnum,,
03/08/2011,Sphagnum,,
04/08/2011,Sphagnum,,
05/08/2011,Sphagnum,,
06/08/2011,Sphagnum,,
07/08/2011,Sphagnum,,
08/08/2011,Sphagnum,,
09/08/2011,Sphagnum,,
10/08/2011,Sphagnum,1.26,0.41
11/08/2011,Sphagnum,1.20,0.33
12/08/2011,Sphagnum,2.20,0.42
13/08/2011,Sphagnum,2.18,0.68
14/08/2011,Sphagnum,1.40,0.41
15/08/2011,Sphagnum,,
16/08/2011,Sphagnum,,
17/08/2011,Sphagnum,,
18/08/2011,Sphagnum,1.31,0.57
19/08/2011,Sphagnum,0.88,0.38
20/08/2011,Sphagnum,0.86,0.43
21/08/2011,Sphagnum,0.94,0.38
22/08/2011,Sphagnum,1.53,0.79
23/08/2011,Sphagnum,1.97,0.78
24/08/2011,Sphagnum,2.29,0.83
25/08/2011,Sphagnum,1.66,
26/08/2011,Sphagnum,1.02,0.37
27/08/2011,Sphagnum,2.11,0.85
28/08/2011,Sphagnum,2.25,0.82
29/08/2011,Sphagnum,2.19,1.03
30/08/2011,Sphagnum,2.15,0.84
31/08/2011,Sphagnum,2.12,0.96
01/09/2011,Sphagnum,1.93,0.85
02/09/2011,Sphagnum,1.85,0.98
03/09/2011,Sphagnum,0.98,0.57
04/09/2011,Sphagnum,0.64,0.36
05/09/2011,Sphagnum,1.17,0.47
06/09/2011,Sphagnum,1.13,0.41
07/09/2011,Sphagnum,1.86,0.80
08/09/2011,Sphagnum,1.93,0.75
09/09/2011,Sphagnum,2.14,0.75
10/09/2011,Sphagnum,2.09,0.76
11/09/2011,Sphagnum,2.06,0.66
12/09/2011,Sphagnum,1.48,0.35
13/09/2011,Sphagnum,2.20,0.76
14/09/2011,Sphagnum,2.28,0.68
15/09/2011,Sphagnum,,
16/09/2011,Sphagnum,1.73,0.19
17/09/2011,Sphagnum,1.33,0.02
18/09/2011,Sphagnum,1.94,0.43
19/09/2011,Sphagnum,1.25,0.26
20/09/2011,Sphagnum,0.67,0.23
21/09/2011,Sphagnum,1.18,0.28
22/09/2011,Sphagnum,1.72,0.43
23/09/2011,Sphagnum,1.95,0.52
24/09/2011,Sphagnum,2.11,0.53
25/09/2011,Sphagnum,1.82,0.43
26/09/2011,Sphagnum,1.29,0.27
27/09/2011,Sphagnum,1.71,0.24
28/09/2011,Sphagnum,1.83,0.29
29/09/2011,Sphagnum,1.58,0.21
30/09/2011,Sphagnum,1.03,0.12
01/10/2011,Sphagnum,1.31,0.21
02/10/2011,Sphagnum,1.64,0.22
03/10/2011,Sphagnum,1.84,0.52
04/10/2011,Sphagnum,1.50,0.35
05/10/2011,Sphagnum,1.84,0.47
06/10/2011,Sphagnum,1.51,0.26
07/10/2011,Sphagnum,1.67,0.36
08/10/2011,Sphagnum,1.23,0.05
09/10/2011,Sphagnum,0.66,0.06
10/10/2011,Sphagnum,0.67,0.22
11/10/2011,Sphagnum,1.07,0.22
12/10/2011,Sphagnum,0.37,0.08
13/10/2011,Sphagnum,0.36,0.08
14/10/2011,Sphagnum,0.77,0.21
15/10/2011,Sphagnum,0.90,0.17
16/10/2011,Sphagnum,1.04,0.13
01/07/2011,Eriophorum,5.69,0.33
02/07/2011,Eriophorum,6.19,0.03
03/07/2011,Eriophorum,6.09,0.37
04/07/2011,Eriophorum,6.46,0.01
05/07/2011,Eriophorum,7.33,0.05
06/07/2011,Eriophorum,7.11,0.93
07/07/2011,Eriophorum,6.42,1.69
08/07/2011,Eriophorum,7.92,0.47
09/07/2011,Eriophorum,6.63,1.38
10/07/2011,Eriophorum,12.03,0.56
11/07/2011,Eriophorum,9.81,1.22
12/07/2011,Eriophorum,9.50,0.36
13/07/2011,Eriophorum,8.59,0.66
14/07/2011,Eriophorum,8.90,0.26
15/07/2011,Eriophorum,13.09,0.68
16/07/2011,Eriophorum,13.55,2.76
17/07/2011,Eriophorum,12.20,1.92
18/07/2011,Eriophorum,8.47,3.34
19/07/2011,Eriophorum,6.39,4.88
20/07/2011,Eriophorum,13.02,2.08
21/07/2011,Eriophorum,12.15,3.86
22/07/2011,Eriophorum,11.14,2.03
23/07/2011,Eriophorum,12.42,3.49
24/07/2011,Eriophorum,6.61,2.95
25/07/2011,Eriophorum,11.71,0.06
26/07/2011,Eriophorum,10.57,1.97
27/07/2011,Eriophorum,11.45,2.19
28/07/2011,Eriophorum,9.73,1.16
29/07/2011,Eriophorum,7.34,0.66
30/07/2011,Eriophorum,9.63,0.70
31/07/2011,Eriophorum,8.08,1.66
01/08/2011,Eriophorum,6.70,3.75
02/08/2011,Eriophorum,,
03/08/2011,Eriophorum,,
04/08/2011,Eriophorum,,
05/08/2011,Eriophorum,,
06/08/2011,Eriophorum,,
07/08/2011,Eriophorum,,
08/08/2011,Eriophorum,,
09/08/2011,Eriophorum,,
10/08/2011,Eriophorum,7.72,0.20
11/08/2011,Eriophorum,8.52,0.68
12/08/2011,Eriophorum,11.95,2.19
13/08/2011,Eriophorum,10.45,1.29
14/08/2011,Eriophorum,9.43,1.82
15/08/2011,Eriophorum,,
16/08/2011,Eriophorum,,
17/08/2011,Eriophorum,,
18/08/2011,Eriophorum,11.23,0.68
19/08/2011,Eriophorum,7.11,1.11
20/08/2011,Eriophorum,6.78,1.18
21/08/2011,Eriophorum,13.38,4.28
22/08/2011,Eriophorum,12.29,3.72
23/08/2011,Eriophorum,12.27,4.20
24/08/2011,Eriophorum,16.12,4.47
25/08/2011,Eriophorum,,
26/08/2011,Eriophorum,18.62,7.43
27/08/2011,Eriophorum,13.70,5.83
28/08/2011,Eriophorum,13.81,4.86
29/08/2011,Eriophorum,13.85,3.12
30/08/2011,Eriophorum,15.86,2.39
31/08/2011,Eriophorum,13.33,1.54
01/09/2011,Eriophorum,12.18,0.02
02/09/2011,Eriophorum,11.21,3.02
03/09/2011,Eriophorum,7.12,1.52
04/09/2011,Eriophorum,5.03,1.26
05/09/2011,Eriophorum,6.99,3.16
06/09/2011,Eriophorum,9.58,4.42
07/09/2011,Eriophorum,9.31,3.88
08/09/2011,Eriophorum,14.02,6.63
09/09/2011,Eriophorum,11.14,2.36
10/09/2011,Eriophorum,13.75,3.00
11/09/2011,Eriophorum,11.06,2.41
12/09/2011,Eriophorum,8.10,2.43
13/09/2011,Eriophorum,10.82,1.62
14/09/2011,Eriophorum,13.78,2.56
15/09/2011,Eriophorum,,
16/09/2011,Eriophorum,7.82,0.68
17/09/2011,Eriophorum,5.39,0.35
18/09/2011,Eriophorum,11.66,2.77
19/09/2011,Eriophorum,9.47,0.93
20/09/2011,Eriophorum,4.20,0.04
21/09/2011,Eriophorum,7.10,1.62
22/09/2011,Eriophorum,6.15,1.92
23/09/2011,Eriophorum,13.55,0.99
24/09/2011,Eriophorum,10.62,0.92
25/09/2011,Eriophorum,9.39,1.22
26/09/2011,Eriophorum,5.45,2.11
27/09/2011,Eriophorum,6.11,1.28
28/09/2011,Eriophorum,7.35,0.20
29/09/2011,Eriophorum,5.30,0.27
30/09/2011,Eriophorum,3.54,0.26
01/10/2011,Eriophorum,6.33,1.71
02/10/2011,Eriophorum,6.26,0.62
03/10/2011,Eriophorum,7.35,0.67
04/10/2011,Eriophorum,5.15,1.57
05/10/2011,Eriophorum,7.22,2.94
06/10/2011,Eriophorum,6.10,0.78
07/10/2011,Eriophorum,6.60,0.19
08/10/2011,Eriophorum,2.95,1.99
09/10/2011,Eriophorum,0.49,3.73
10/10/2011,Eriophorum,2.10,0.98
11/10/2011,Eriophorum,2.56,2.00
12/10/2011,Eriophorum,1.17,1.06
13/10/2011,Eriophorum,1.93,0.27
14/10/2011,Eriophorum,4.40,1.13
15/10/2011,Eriophorum,4.66,1.29
16/10/2011,Eriophorum,5.21,1.34